"Time Stamp","Time Zone","Name","PTID","Load"
"10/15/2013 00:00:00","EDT","CAPITL",61757,1066.2
"10/15/2013 00:00:00","EDT","CENTRL",61754,1453.4
"10/15/2013 00:00:00","EDT","DUNWOD",61760,515.2
"10/15/2013 00:00:00","EDT","GENESE",61753,897.3
"10/15/2013 00:00:00","EDT","HUD VL",61758,860.9
"10/15/2013 00:00:00","EDT","LONGIL",61762,1798.5
"10/15/2013 00:00:00","EDT","MHK VL",61756,676.1
"10/15/2013 00:00:00","EDT","MILLWD",61759,249.5
"10/15/2013 00:00:00","EDT","N.Y.C.",61761,4729.4
"10/15/2013 00:00:00","EDT","NORTH",61755,609.5
"10/15/2013 00:00:00","EDT","WEST",61752,1446.8
"10/15/2013 00:05:00","EDT","CAPITL",61757,1045.7
"10/15/2013 00:05:00","EDT","CENTRL",61754,1438.1
"10/15/2013 00:05:00","EDT","DUNWOD",61760,519.5
"10/15/2013 00:05:00","EDT","GENESE",61753,885.1
"10/15/2013 00:05:00","EDT","HUD VL",61758,850.8
"10/15/2013 00:05:00","EDT","LONGIL",61762,1776.6
"10/15/2013 00:05:00","EDT","MHK VL",61756,679.1
"10/15/2013 00:05:00","EDT","MILLWD",61759,224.6
"10/15/2013 00:05:00","EDT","N.Y.C.",61761,4693.2
"10/15/2013 00:05:00","EDT","NORTH",61755,610.9
"10/15/2013 00:05:00","EDT","WEST",61752,1458.3
"10/15/2013 00:10:00","EDT","CAPITL",61757,1055.3
"10/15/2013 00:10:00","EDT","CENTRL",61754,1421.9
"10/15/2013 00:10:00","EDT","DUNWOD",61760,503.9
"10/15/2013 00:10:00","EDT","GENESE",61753,886.9
"10/15/2013 00:10:00","EDT","HUD VL",61758,824.9
"10/15/2013 00:10:00","EDT","LONGIL",61762,1768.2
"10/15/2013 00:10:00","EDT","MHK VL",61756,664.3
"10/15/2013 00:10:00","EDT","MILLWD",61759,256.3
"10/15/2013 00:10:00","EDT","N.Y.C.",61761,4648.9
"10/15/2013 00:10:00","EDT","NORTH",61755,607
"10/15/2013 00:10:00","EDT","WEST",61752,1416.1
"10/15/2013 00:15:00","EDT","CAPITL",61757,1049.7
"10/15/2013 00:15:00","EDT","CENTRL",61754,1430.1
"10/15/2013 00:15:00","EDT","DUNWOD",61760,490.1
"10/15/2013 00:15:00","EDT","GENESE",61753,875.1
"10/15/2013 00:15:00","EDT","HUD VL",61758,838.6
"10/15/2013 00:15:00","EDT","LONGIL",61762,1745.7
"10/15/2013 00:15:00","EDT","MHK VL",61756,660
"10/15/2013 00:15:00","EDT","MILLWD",61759,249.9
"10/15/2013 00:15:00","EDT","N.Y.C.",61761,4617.9
"10/15/2013 00:15:00","EDT","NORTH",61755,601.2
"10/15/2013 00:15:00","EDT","WEST",61752,1411.7
"10/15/2013 00:20:00","EDT","CAPITL",61757,1031
"10/15/2013 00:20:00","EDT","CENTRL",61754,1429.9
"10/15/2013 00:20:00","EDT","DUNWOD",61760,497.6
"10/15/2013 00:20:00","EDT","GENESE",61753,880.8
